Index,CPU,GPU,RAM
352,20.8,6.0,90.2
353,16.7,6.0,90.4
354,18.8,6.0,90.7
355,16.7,6.0,91.0
356,12.5,6.0,91.2
357,16.0,6.0,91.5
358,16.7,6.0,91.8
359,16.7,6.0,92.1
360,8.7,6.0,92.3
361,8.3,6.0,92.7
362,8.3,6.0,92.9
363,16.0,6.0,93.2
364,12.5,6.0,93.4
365,16.7,6.0,93.7
366,8.7,6.0,94.0
367,12.5,6.0,94.2
368,17.4,6.0,94.6
369,25.0,3.0,94.4
370,19.2,3.0,94.2
371,9.7,3.0,93.9
372,18.2,3.0,93.7
373,18.8,3.0,93.8
374,8.7,3.0,93.8
375,16.7,3.0,93.8
376,13.0,3.0,94.0
377,20.8,3.0,94.2
378,8.7,3.0,94.4
379,15.8,3.0,94.5
380,11.1,3.0,94.5
381,9.5,3.0,94.7
382,12.5,3.0,94.8
383,8.3,3.0,94.9
384,4.2,3.0,95.0
385,12.5,3.0,95.2
386,12.5,3.0,95.5
387,12.5,3.0,95.7
388,8.3,3.0,95.9
389,15.2,2.0,96.1
390,6.2,2.0,96.5
391,9.4,2.0,96.7
392,9.4,2.0,96.8
393,3.3,2.0,96.8
394,0.0,2.0,96.8
395,6.2,2.0,96.9
396,65.7,2.0,96.0
397,95.4,2.0,87.9
398,100.0,2.0,83.7
399,100.0,2.0,80.1
400,100.0,2.0,77.8
401,100.0,2.0,74.9
402,100.0,1.0,72.7
403,67.6,1.0,71.9
404,15.0,1.0,71.7
405,18.8,1.0,71.7
406,13.2,1.0,71.7
407,15.2,1.0,71.7
408,20.0,1.0,71.7
409,15.6,1.0,71.7
410,12.5,1.0,71.7
411,8.3,1.0,71.7
412,4.2,1.0,71.6
413,8.3,1.0,71.6
414,8.3,1.0,71.7
415,8.3,1.0,71.7
416,4.2,1.0,71.7
417,4.2,1.0,71.7
418,4.2,1.0,71.7
419,0.0,1.0,71.7
420,4.2,0.0,71.6
421,8.3,0.0,71.7
422,4.2,0.0,71.7
423,4.2,0.0,71.7
424,8.7,0.0,71.7
425,0.0,0.0,71.7
426,0.0,0.0,71.7
427,9.1,0.0,71.7
428,4.0,0.0,71.7
429,4.5,0.0,71.7
430,3.8,0.0,71.7
431,0.0,0.0,71.7
432,8.6,0.0,71.7
433,4.8,0.0,71.7
434,4.2,0.0,71.7
435,0.0,0.0,71.7
436,4.2,0.0,71.7
437,4.2,0.0,71.7
438,0.0,0.0,71.7
439,8.3,0.0,71.7
440,8.3,0.0,71.7
441,0.0,0.0,71.7
442,4.2,0.0,71.7
443,0.0,0.0,71.7
444,0.0,0.0,71.7
445,8.3,0.0,71.7
446,4.2,0.0,71.7
447,4.2,0.0,71.7
448,4.2,0.0,71.7
449,4.2,0.0,71.7
450,12.5,0.0,71.7
451,4.2,0.0,71.7
452,4.2,0.0,71.7
453,4.2,0.0,71.7
454,8.3,0.0,71.7
455,0.0,0.0,71.7
456,4.2,0.0,71.7
457,4.2,0.0,71.7
458,0.0,0.0,71.7
459,0.0,0.0,71.7
460,0.0,0.0,71.7
461,4.2,0.0,71.7
462,0.0,0.0,71.7
463,4.2,0.0,71.7
464,0.0,0.0,71.7
465,0.0,0.0,71.7
466,5.3,0.0,71.7
467,7.4,0.0,71.7
468,8.7,0.0,71.7
469,4.3,0.0,71.7
470,8.3,0.0,71.7
471,10.0,0.0,71.7
472,16.7,0.0,71.7
473,4.2,0.0,71.7
474,12.0,0.0,71.7
475,0.0,0.0,71.7
476,0.0,0.0,71.7
477,4.2,0.0,71.7
478,0.0,0.0,71.7
479,4.2,0.0,71.7
480,4.2,0.0,71.7
481,0.0,0.0,71.7
482,4.3,0.0,71.7
483,4.0,0.0,71.7
484,4.8,0.0,71.7
485,4.5,0.0,71.7
486,6.9,0.0,71.7
487,4.8,0.0,71.7
488,0.0,0.0,71.7
489,8.3,0.0,71.7
490,4.8,0.0,71.7
491,0.0,0.0,71.7
492,0.0,0.0,71.7
493,0.0,0.0,71.7
494,4.2,0.0,71.7
495,0.0,0.0,71.7
496,0.0,0.0,71.7
497,0.0,0.0,71.7
498,4.2,0.0,71.7
499,4.2,0.0,71.7
500,0.0,0.0,71.7
501,4.2,0.0,71.8
502,16.7,0.0,71.7
503,8.3,0.0,71.8
504,4.2,0.0,71.7
505,4.2,0.0,71.7
506,0.0,0.0,71.7
507,4.2,0.0,71.8
508,0.0,0.0,71.8
509,4.0,0.0,71.7
510,9.5,0.0,71.7
511,0.0,0.0,71.7
512,9.1,0.0,71.7
513,0.0,0.0,71.8
514,4.2,0.0,71.8
515,4.2,0.0,71.7
516,4.2,0.0,71.7
517,4.2,0.0,71.7
518,16.7,0.0,71.7
519,0.0,0.0,71.7
520,0.0,0.0,71.8
521,4.2,0.0,71.7
522,0.0,0.0,71.7
523,4.2,0.0,71.7
524,0.0,0.0,71.7
525,0.0,0.0,71.8
526,4.2,0.0,71.7
527,0.0,0.0,71.8
528,0.0,0.0,71.7
529,8.3,0.0,71.7
530,4.2,0.0,71.7
531,4.2,0.0,71.7
