                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.84207,                0.70907,                 1.0491,                0.91971,                0.81594,                0.89166,                0.74354,                0.71113,                0.51703,                 0.9197,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.85137,                0.71544,                 1.0372,                0.92023,                0.81706,                0.89315,                0.74482,                 0.7089,                0.51465,                0.91883,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.85072,                0.70921,                 1.0207,                0.92155,                0.81671,                0.89291,                 0.7448,                0.70864,                0.51495,                0.91839,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.85783,                0.70878,                 1.0459,                0.91893,                0.81508,                0.89266,                0.74395,                0.70867,                0.51414,                0.91801,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                0.78582,                0.68091,                 1.0084,                0.91821,                0.81636,                0.89184,                0.74457,                0.70758,                0.51409,                0.91741,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.81999,                0.67413,                 1.0147,                0.91645,                 0.8164,                0.89184,                0.74443,                0.70585,                 0.5133,                0.91668,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                0.81789,                0.68248,                 1.0326,                0.91481,                 0.8164,                0.89209,                0.74529,                0.70429,                0.51302,                0.91625,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.88048,                0.78873,                   1.03,                0.91203,                0.81665,                0.89173,                0.74547,                0.70879,                0.51834,                0.91624,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.87942,                0.73109,                 1.0145,                0.91421,                0.81659,                0.89183,                0.74249,                0.71394,                0.52304,                0.91705,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                0.87713,                0.71644,                 1.0084,                0.91593,                0.81386,                0.89007,                0.73833,                0.71814,                0.52743,                0.91823,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.85122,                0.69714,                0.99866,                0.91589,                0.80828,                0.88858,                0.73497,                0.72347,                0.53257,                0.92117,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.87899,                 0.7372,                 1.0211,                0.91662,                0.80577,                0.88873,                 0.7326,                0.72752,                0.53667,                 0.9225,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                0.83549,                0.67779,                 1.0143,                0.89962,                0.81588,                0.88889,                0.73184,                0.72984,                0.53837,                0.92271,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.84341,                0.69591,                0.99168,                0.88558,                 0.8095,                0.87801,                0.72961,                0.73518,                0.54332,                 0.9239,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.81823,                0.65521,                 1.0036,                0.89306,                0.81659,                 0.8897,                0.73136,                0.73562,                0.54382,                0.92431,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.80695,                0.66132,                0.97765,                0.89701,                0.81438,                0.88939,                0.73025,                0.73725,                0.54554,                 0.9244,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                0.78371,                0.65749,                 1.0052,                 0.8965,                0.81588,                0.88972,                0.73212,                0.73601,                 0.5445,                0.92426,             3.5462e-06,             3.5462e-06,             3.5462e-06
