                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.2659,                0.72561,                 1.1707,                0.90991,                  0.849,                0.92764,                0.57176,                  1.372,                0.66372,                 1.2723,               0.008416,               0.008416,               0.008416
                     82,                  1.264,                 0.7227,                 1.1785,                 0.8937,                0.85891,                0.92475,                0.57305,                 1.3769,                0.66119,                 1.2674,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.2554,                0.72016,                 1.1681,                0.90094,                0.85229,                 0.9243,                0.57544,                 1.3709,                0.66764,                 1.2699,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.2478,                0.70727,                 1.1658,                0.90742,                0.84937,                0.92357,                0.57135,                 1.3758,                0.66605,                 1.2752,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.2525,                0.71925,                 1.1694,                0.89802,                0.85302,                0.92465,                0.57437,                 1.3679,                0.66384,                 1.2707,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.2525,                0.71563,                 1.1722,                0.90435,                0.85072,                0.92813,                0.57692,                 1.3687,                0.66049,                  1.271,               0.008317,               0.008317,               0.008317
                     87,                 1.2548,                0.71851,                 1.1636,                0.90273,                0.85797,                0.92776,                0.57641,                 1.3603,                0.65452,                  1.264,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.2542,                0.70904,                  1.167,                0.90058,                 0.8631,                 0.9272,                 0.5781,                 1.3583,                0.65341,                 1.2622,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.2389,                0.70308,                 1.1621,                0.89688,                0.86306,                0.92699,                0.57532,                 1.3704,                0.65325,                  1.272,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.2544,                0.72057,                 1.1731,                0.89519,                0.86896,                0.92621,                0.57271,                 1.3668,                0.65104,                 1.2658,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.2448,                0.70881,                 1.1638,                0.91057,                0.85841,                0.92881,                0.57554,                 1.3664,                0.64571,                 1.2685,               0.008218,               0.008218,               0.008218
                     92,                 1.2455,                0.70429,                 1.1661,                0.90963,                0.85344,                0.92776,                 0.5768,                 1.3672,                0.64461,                 1.2689,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.2382,                0.69992,                  1.168,                0.90671,                0.85482,                0.92629,                0.57676,                 1.3621,                0.64499,                 1.2731,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.2385,                0.69314,                 1.1615,                0.89432,                0.86687,                0.92848,                0.57779,                 1.3638,                0.65033,                 1.2703,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.2334,                0.69908,                 1.1574,                0.88843,                0.86988,                0.92881,                0.57754,                 1.3659,                0.65199,                 1.2708,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.2401,                0.69591,                 1.1578,                0.88891,                 0.8714,                0.92983,                0.57804,                 1.3647,                 0.6409,                 1.2701,               0.008119,               0.008119,               0.008119
                     97,                 1.2368,                0.70161,                 1.1563,                0.90205,                0.85889,                0.92977,                0.57943,                 1.3612,                0.64219,                 1.2643,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.2323,                0.70132,                 1.1546,                0.90064,                0.85508,                0.92787,                0.57986,                 1.3604,                0.64097,                 1.2601,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.2329,                0.70011,                 1.1595,                0.88643,                0.87317,                 0.9279,                0.57717,                 1.3612,                0.64498,                 1.2644,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.2319,                0.68688,                 1.1582,                0.89887,                0.85904,                0.92759,                0.57513,                 1.3619,                0.64861,                 1.2689,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.2231,                0.68293,                 1.1555,                0.91634,                0.84879,                0.92439,                 0.5758,                 1.3665,                0.64942,                 1.2736,                0.00802,                0.00802,                0.00802
                    102,                 1.2255,                0.68942,                 1.1511,                 0.9033,                0.85929,                0.92562,                0.57906,                 1.3632,                0.64571,                 1.2681,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.2278,                 0.6924,                 1.1596,                0.89728,                0.86575,                0.92789,                0.57994,                 1.3605,                0.64386,                 1.2647,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.2263,                0.68765,                 1.1541,                0.89995,                0.86597,                0.92615,                0.57847,                 1.3619,                0.64462,                 1.2668,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.2106,                 0.6787,                 1.1498,                0.91149,                0.85298,                 0.9277,                0.58079,                 1.3568,                0.64667,                 1.2675,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.2162,                0.67847,                 1.1529,                 0.9036,                0.85935,                0.92645,                 0.5807,                 1.3532,                0.64823,                 1.2685,               0.007921,               0.007921,               0.007921
                    107,                 1.2129,                0.67654,                 1.1488,                 0.9115,                0.85368,                0.92604,                0.57932,                 1.3534,                0.64165,                 1.2652,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.2161,                0.67812,                  1.143,                0.89474,                0.86764,                0.92727,                0.57959,                  1.353,                0.63991,                 1.2619,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.2152,                0.67389,                 1.1514,                0.89623,                0.85729,                0.92825,                 0.5801,                 1.3538,                0.63996,                 1.2627,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.2099,                0.67466,                 1.1435,                0.90197,                0.85801,                0.92647,                0.57983,                  1.351,                 0.6435,                 1.2629,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.2054,                0.66866,                 1.1429,                0.91059,                 0.8566,                0.92856,                0.58316,                 1.3498,                0.63838,                 1.2612,               0.007822,               0.007822,               0.007822
                    112,                 1.1925,                0.66434,                 1.1416,                0.90269,                0.86051,                0.92671,                0.58215,                 1.3494,                0.64341,                 1.2643,              0.0078022,              0.0078022,              0.0078022
                    113,                  1.205,                0.66814,                  1.142,                0.90812,                0.85589,                0.92626,                0.58008,                 1.3523,                0.64274,                 1.2664,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.2066,                0.67228,                 1.1422,                0.90443,                0.86342,                0.92809,                0.58033,                 1.3547,                0.63963,                 1.2637,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.1958,                0.66096,                 1.1378,                0.89964,                0.86629,                0.92875,                0.58105,                 1.3566,                0.63894,                  1.264,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.2006,                0.66261,                 1.1378,                0.90821,                0.86154,                0.92912,                 0.5836,                 1.3552,                0.63955,                 1.2639,               0.007723,               0.007723,               0.007723
                    117,                 1.1954,                0.65818,                  1.136,                0.89165,                0.87414,                0.92938,                0.58585,                 1.3517,                 0.6395,                 1.2615,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.2013,                0.66257,                  1.137,                0.90099,                 0.8672,                0.92868,                0.58462,                 1.3478,                0.63916,                 1.2599,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.1982,                 0.6601,                  1.131,                0.90453,                0.85709,                0.92965,                 0.5857,                 1.3457,                 0.6378,                 1.2574,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.1893,                0.65517,                 1.1366,                0.89219,                0.87198,                0.92952,                0.58628,                 1.3422,                0.63469,                  1.256,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.1942,                0.66823,                 1.1336,                0.90143,                0.86131,                 0.9285,                0.58503,                 1.3406,                0.63174,                 1.2564,               0.007624,               0.007624,               0.007624
                    122,                 1.1891,                0.65813,                 1.1387,                0.90556,                 0.8582,                0.92625,                0.58562,                 1.3445,                0.63896,                 1.2606,              0.0076042,              0.0076042,              0.0076042
                    123,                  1.187,                0.65375,                 1.1284,                 0.9017,                 0.8626,                 0.9248,                0.58462,                 1.3431,                 0.6428,                 1.2597,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.1881,                0.65364,                 1.1356,                0.89434,                0.86684,                0.92367,                0.58456,                 1.3437,                0.64326,                  1.259,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.2002,                0.65411,                 1.1413,                0.90047,                0.86413,                0.92431,                0.58382,                 1.3452,                0.64615,                 1.2604,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.1853,                0.64307,                 1.1293,                0.88962,                0.87383,                0.92503,                0.58455,                 1.3454,                0.64294,                  1.261,               0.007525,               0.007525,               0.007525
                    127,                 1.1856,                0.64669,                 1.1328,                0.89619,                0.86608,                0.92366,                0.58409,                 1.3448,                0.64077,                 1.2601,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.1841,                0.65322,                 1.1354,                0.90233,                0.86527,                0.92443,                0.58466,                 1.3467,                0.64423,                 1.2597,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.1748,                0.64665,                 1.1237,                0.89311,                0.87117,                0.92483,                0.58438,                  1.346,                0.64021,                 1.2593,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.1717,                0.65037,                  1.128,                0.89957,                0.86825,                0.92572,                0.58527,                 1.3479,                0.63864,                 1.2611,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.1776,                0.64576,                 1.1279,                0.89564,                0.87141,                0.92563,                 0.5846,                 1.3477,                 0.6389,                 1.2621,               0.007426,               0.007426,               0.007426
                    132,                 1.1758,                0.64307,                 1.1285,                0.90178,                0.86404,                0.92613,                0.58447,                 1.3456,                0.63823,                 1.2608,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.1742,                0.64486,                 1.1236,                0.89805,                0.86581,                0.92722,                0.58539,                 1.3458,                0.63567,                 1.2605,              0.0073864,              0.0073864,              0.0073864
                    134,                  1.181,                0.64295,                 1.1335,                0.89517,                 0.8667,                0.92646,                0.58516,                 1.3459,                0.63374,                 1.2598,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.1717,                0.64551,                 1.1296,                0.88511,                 0.8798,                0.92707,                0.58568,                 1.3458,                 0.6351,                 1.2612,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.1662,                0.63435,                 1.1199,                0.88733,                0.87959,                0.92725,                0.58475,                  1.346,                0.63383,                 1.2613,               0.007327,               0.007327,               0.007327
                    137,                 1.1726,                0.63325,                 1.1225,                0.88472,                0.87667,                0.92664,                 0.5843,                 1.3467,                0.63328,                 1.2624,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.1555,                0.63242,                 1.1182,                0.89293,                0.87088,                0.92706,                0.58508,                 1.3462,                0.63099,                 1.2622,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.1717,                0.63996,                 1.1215,                0.89325,                0.87258,                0.92578,                0.58538,                 1.3455,                0.63248,                 1.2618,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.1637,                0.62979,                 1.1238,                 0.8978,                0.86739,                0.92539,                0.58459,                 1.3458,                0.63265,                 1.2616,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.1616,                0.63426,                 1.1213,                0.89925,                0.86813,                0.92533,                0.58475,                 1.3446,                0.63312,                 1.2618,               0.007228,               0.007228,               0.007228
                    142,                 1.1487,                0.63179,                 1.1125,                0.89129,                0.87606,                0.92498,                0.58501,                  1.346,                0.63504,                 1.2631,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.1614,                0.63662,                 1.1151,                0.90333,                0.86616,                0.92558,                0.58506,                 1.3458,                0.63676,                 1.2623,              0.0071884,              0.0071884,              0.0071884
