time,uptime,CPU1,CPU2,CPU3,CPU4,GPU,used_ram,tot_ram,Power TOT
2024-06-03 19:59:21.073294,5:48:32.610000,89,98,94,91,0.0,1731988,4050824,5014
2024-06-03 19:59:22.074664,5:48:33.610000,96,96,100,95,52.7,1748504,4050824,4892
2024-06-03 19:59:23.076223,5:48:34.610000,92,87,96,83,0.0,1748588,4050824,5055
2024-06-03 19:59:24.077327,5:48:35.610000,98,98,97,99,0.0,1793388,4050824,4932
2024-06-03 19:59:25.078669,5:48:36.610000,99,97,100,100,0.1,1829140,4050824,4810
2024-06-03 19:59:26.080019,5:48:37.610000,99,100,100,98,0.0,1818164,4050824,5291
2024-06-03 19:59:27.081313,5:48:38.610000,81,79,85,87,0.0,1835428,4050824,4810
2024-06-03 19:59:28.082630,5:48:39.610000,92,99,99,90,0.0,1834912,4050824,4810
2024-06-03 19:59:29.083960,5:48:40.610000,97,94,94,100,0.0,1864104,4050824,4416
2024-06-03 19:59:30.085473,5:48:41.610000,91,99,90,95,45.4,1881580,4050824,5250
2024-06-03 19:59:31.086832,5:48:42.620000,100,99,99,97,74.6,1883476,4050824,4932
2024-06-03 19:59:32.088173,5:48:43.620000,88,96,91,91,37.8,1890576,4050824,4932
2024-06-03 19:59:33.089277,5:48:44.620000,95,90,95,95,51.4,1892484,4050824,5128
2024-06-03 19:59:34.090629,5:48:45.620000,100,92,95,94,12.3,1918112,4050824,5088
2024-06-03 19:59:35.092065,5:48:46.620000,98,100,91,92,19.8,1896376,4050824,4892
2024-06-03 19:59:36.093404,5:48:47.620000,95,100,92,98,58.1,1916068,4050824,5055
2024-06-03 19:59:37.094745,5:48:48.620000,97,99,99,99,0.0,1947344,4050824,5055
