time,uptime,CPU1,CPU2,CPU3,CPU4,GPU
2024-06-03 15:15:51.305844,1:05:02.560000,48,29,50,10,7.5
2024-06-03 15:15:52.307314,1:05:03.560000,45,37,43,32,0.0
2024-06-03 15:15:53.308680,1:05:04.560000,56,34,32,43,96.8
2024-06-03 15:15:54.309982,1:05:05.560000,54,30,36,43,4.8
2024-06-03 15:15:55.311325,1:05:06.560000,69,58,68,46,14.4
2024-06-03 15:15:56.312917,1:05:07.560000,58,41,44,49,8.7
2024-06-03 15:15:57.314315,1:05:08.570000,44,34,33,54,99.2
2024-06-03 15:15:58.315678,1:05:09.570000,48,56,49,60,14.4
2024-06-03 15:15:59.316963,1:05:10.570000,36,43,32,47,14.5
2024-06-03 15:16:00.318361,1:05:11.570000,33,65,33,38,11.8
2024-06-03 15:16:01.319816,1:05:12.570000,48,36,55,61,99.2
2024-06-03 15:16:02.321134,1:05:13.570000,50,35,51,44,99.6
2024-06-03 15:16:03.322536,1:05:14.570000,35,57,35,39,60.0
2024-06-03 15:16:04.324372,1:05:15.570000,37,51,35,35,89.1
2024-06-03 15:16:05.325279,1:05:16.570000,33,56,38,24,13.4
2024-06-03 15:16:06.326568,1:05:17.570000,39,48,35,41,0.5
2024-06-03 15:16:07.327866,1:05:18.580000,39,59,40,59,99.4
2024-06-03 15:16:08.329189,1:05:19.580000,39,25,25,75,97.4
2024-06-03 15:16:09.330516,1:05:20.580000,33,41,38,43,7.1
2024-06-03 15:16:10.331837,1:05:21.580000,30,64,26,35,9.6
2024-06-03 15:16:11.333149,1:05:22.580000,40,49,40,31,98.4
2024-06-03 15:16:12.333591,1:05:23.580000,42,55,33,29,0.9
2024-06-03 15:16:13.335058,1:05:24.580000,26,40,60,29,12.6
2024-06-03 15:16:14.336463,1:05:25.580000,30,50,45,31,91.0
2024-06-03 15:16:15.337300,1:05:26.580000,30,44,54,28,28.8
2024-06-03 15:16:16.338814,1:05:27.580000,35,31,51,41,12.9
2024-06-03 15:16:17.340156,1:05:28.580000,28,39,48,43,13.9
2024-06-03 15:16:18.341340,1:05:29.590000,38,29,47,36,99.2
2024-06-03 15:16:19.342966,1:05:30.590000,55,35,34,39,70.9
2024-06-03 15:16:20.344315,1:05:31.590000,32,51,28,47,1.4
2024-06-03 15:16:21.345310,1:05:32.590000,37,44,43,36,9.0
2024-06-03 15:16:22.346718,1:05:33.590000,35,55,33,38,99.3
2024-06-03 15:16:23.348277,1:05:34.590000,50,26,38,48,38.2
2024-06-03 15:16:24.349807,1:05:35.590000,53,37,28,40,55.0
2024-06-03 15:16:25.351124,1:05:36.590000,55,27,30,46,18.9
2024-06-03 15:16:26.352495,1:05:37.590000,38,34,35,45,4.1
2024-06-03 15:16:27.353364,1:05:38.590000,48,33,34,40,16.6
2024-06-03 15:16:28.354682,1:05:39.600000,39,39,30,54,40.2
2024-06-03 15:16:29.355155,1:05:40.600000,59,37,41,48,32.8
2024-06-03 15:16:30.356548,1:05:41.600000,39,53,38,43,31.0
2024-06-03 15:16:31.357360,1:05:42.600000,55,32,40,41,91.4
2024-06-03 15:16:32.358723,1:05:43.600000,50,37,34,37,13.1
2024-06-03 15:16:33.360088,1:05:44.600000,53,46,27,33,6.2
2024-06-03 15:16:34.361365,1:05:45.600000,65,41,25,32,54.3
2024-06-03 15:16:35.362940,1:05:46.600000,48,40,31,43,7.3
2024-06-03 15:16:36.364482,1:05:47.600000,60,35,33,29,94.7
2024-06-03 15:16:37.365826,1:05:48.600000,60,24,26,47,11.4
2024-06-03 15:16:38.367242,1:05:49.600000,34,35,42,51,12.7
2024-06-03 15:16:39.368577,1:05:50.610000,49,50,33,34,0.7
2024-06-03 15:16:40.369297,1:05:51.610000,49,35,38,47,59.8
2024-06-03 15:16:41.370578,1:05:52.610000,53,40,24,37,1.8
2024-06-03 15:16:42.371922,1:05:53.610000,46,25,32,52,11.6
2024-06-03 15:16:43.373283,1:05:54.610000,31,44,39,48,13.6
2024-06-03 15:16:44.374630,1:05:55.610000,45,41,35,39,82.1
2024-06-03 15:16:45.375926,1:05:56.610000,40,40,35,54,53.0
2024-06-03 15:16:46.377260,1:05:57.610000,30,43,33,56,14.6
2024-06-03 15:16:47.378616,1:05:58.610000,48,22,30,55,12.5
2024-06-03 15:16:48.380085,1:05:59.610000,55,35,32,44,98.0
2024-06-03 15:16:49.381322,1:06:00.620000,61,26,30,41,0.9
2024-06-03 15:16:50.382535,1:06:01.620000,35,45,25,52,9.2
2024-06-03 15:16:51.384151,1:06:02.620000,40,61,28,34,99.2
2024-06-03 15:16:52.385473,1:06:03.620000,43,30,33,52,13.7
2024-06-03 15:16:53.386806,1:06:04.620000,50,24,37,46,8.8
2024-06-03 15:16:54.388179,1:06:05.620000,31,53,40,48,9.3
2024-06-03 15:16:55.389556,1:06:06.620000,55,26,34,42,19.4
2024-06-03 15:16:56.390878,1:06:07.620000,50,55,45,48,20.5
2024-06-03 15:16:57.392174,1:06:08.620000,48,32,48,34,73.3
2024-06-03 15:16:58.393759,1:06:09.620000,42,31,64,27,99.1
2024-06-03 15:16:59.395338,1:06:10.620000,44,32,46,43,99.2
2024-06-03 15:17:00.396680,1:06:11.630000,33,37,45,44,99.2
2024-06-03 15:17:01.397517,1:06:12.630000,47,37,29,46,72.8
2024-06-03 15:17:02.398873,1:06:13.630000,44,33,31,48,7.2
2024-06-03 15:17:03.400313,1:06:14.630000,36,43,45,51,6.1
2024-06-03 15:17:04.401767,1:06:15.630000,60,44,31,30,99.3
2024-06-03 15:17:05.403287,1:06:16.630000,36,34,30,65,17.8
2024-06-03 15:17:06.403841,1:06:17.630000,50,41,36,36,0.7
2024-06-03 15:17:07.405289,1:06:18.630000,28,56,28,48,0.0
2024-06-03 15:17:08.406651,1:06:19.630000,79,10,3,39,0.0
2024-06-03 15:17:09.407996,1:06:20.630000,62,10,8,41,0.0
2024-06-03 15:17:10.409275,1:06:21.640000,17,74,17,8,1.6
2024-06-03 15:17:11.410588,1:06:22.640000,35,17,30,55,4.2
2024-06-03 15:17:12.411894,1:06:23.640000,42,32,44,53,0.0
2024-06-03 15:17:13.413220,1:06:24.640000,41,41,38,11,0.0
2024-06-03 15:17:14.414577,1:06:25.640000,29,26,48,28,0.0
2024-06-03 15:17:15.415851,1:06:26.640000,77,23,17,13,0.0
2024-06-03 15:17:16.417261,1:06:27.640000,19,84,13,17,0.0
2024-06-03 15:17:17.418621,1:06:28.640000,36,14,6,45,0.0
